sdl_id,lat,lon,tiff_url,ecw_url
MAP342a_33,49.2413,-123.16161,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_33.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_33.ecw
MAP342a_34,49.24668,-123.13902,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_34.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_34.ecw
MAP342a_35,49.24939,-123.11613,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_35.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_35.ecw
MAP342a_36,49.23715,-123.13935,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_36.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_36.ecw
MAP342a_37,49.23911,-123.11662,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_37.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_37.ecw
MAP342a_38,49.23015,-123.18485,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_38.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_38.ecw
MAP342a_39,49.23183,-123.16195,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_39.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_39.ecw
MAP342a_40,49.22075,-123.18435,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_40.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_40.ecw
MAP342a_41,49.22232,-123.16167,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_41.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_41.ecw
MAP342a_42,49.22748,-123.13956,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_42.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_42.ecw
MAP342a_43,49.23016,-123.11692,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_43.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_43.ecw
MAP342a_44,49.21834,-123.13973,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_44.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_44.ecw
MAP342a_45,49.22057,-123.11755,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_45.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_45.ecw
MAP342a_46,49.21314,-123.13855,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_46.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_46.ecw
MAP342a_47,49.2125,-123.11741,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_47.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_47.ecw
MAP342a_48,49.20396,-123.13956,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_48.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_48.ecw
MAP342a_49,49.20471,-123.11772,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_49.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_49.ecw
MAP342a_50,49.27303,-123.22386,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342a_50.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342a_50.ecw
MAP342b_01,49.28561,-123.10008,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_01.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_01.ecw
MAP342b_02,49.28624,-123.09208,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_02.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_02.ecw
MAP342b_03,49.28278,-123.10005,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_03.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_03.ecw
MAP342b_04,49.28307,-123.08992,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_04.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_04.ecw
MAP342b_05,49.2795,-123.1004,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_05.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_05.ecw
MAP342b_06,49.27883,-123.09018,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_06.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_06.ecw
MAP342b_07,49.27538,-123.1007,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_07.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_07.ecw
MAP342b_08,49.27467,-123.09033,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_08.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_08.ecw
MAP342b_09,49.28104,-123.08019,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_09.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_09.ecw
MAP342b_10,49.28077,-123.07048,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_10.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_10.ecw
MAP342b_11,49.27722,-123.08021,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_11.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_11.ecw
MAP342b_12,49.27664,-123.07077,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_12.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_12.ecw
MAP342b_13,49.28624,-123.07662,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_13.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_13.ecw
MAP342b_14,49.28786,-123.05463,https://webtransfer.vancouver.ca/opendata/1912tiff/MAP342b_14.zip,https://webtransfer.vancouver.ca/opendata/1912ecw/MAP342b_14.ecw
