id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
516,20,2010,3693,2045,3728,2010,3693,2045,3728,r3c1@60,,,,,60,
1292,50,4660,3697,4677,3714,4660,3697,4677,3714,r3c3@30,,,,,30,
337,B,2314,3702,2339,3727,2314,3702,2339,3727,r3c2,,,,,0,
511,MAHON BLK,1857,3703,1945,3771,1857,3703,1945,3771,r3c1@30,,,,,30,
1402,50,4680,3704,4698,3722,4680,3704,4698,3722,r3c3@30,,,,,30,
108,C,3343,3708,3366,3733,3343,3708,3366,3733,r3c2,,,,,0,
375,11A,2276,3710,2316,3739,2276,3710,2316,3739,r3c2,,,,,0,
130,16,3374,3711,3402,3741,3374,3711,3402,3741,r3c2,,,,,0,
1510,50,4702,3711,4719,3727,4702,3711,4719,3727,r3c3@30,,,,,30,
1618,50,4723,3718,4740,3734,4723,3718,4740,3734,r3c3@30,,,,,30,
508,19,2042,3723,2077,3758,2042,3723,2077,3758,r3c1@30,,,,,30,
1715,50,4742,3727,4760,3743,4742,3727,4760,3743,r3c3@30,,,,,30,
1809,50,4763,3734,4779,3749,4763,3734,4779,3749,r3c3@30,,,,,30,
212,D,3590,3736,3610,3758,3590,3736,3610,3758,r3c3,,,,,0,
1920,50,4783,3742,4801,3759,4783,3742,4801,3759,r3c3@30,,,,,30,
72,Nagle,3199,3744,3286,3782,3199,3744,3286,3782,r3c2,,,,,0,
27,2,3997,3748,4041,3791,3997,3748,4041,3791,r3c3,,,,,0,
223,205,3481,3750,3534,3779,3481,3750,3534,3779,r3c2,,,,,0,
2015,50,4803,3750,4819,3765,4803,3750,4819,3765,r3c3@30,,,,,30,
521,18,2068,3752,2101,3786,2068,3752,2101,3786,r3c1@30,,,,,30,
2115,50,4824,3758,4841,3774,4824,3758,4841,3774,r3c3@30,,,,,30,
1321,Hotel,2422,3762,2538,3887,2422,3762,2538,3887,r3c2@60,,,,,60,
1090,Carder,2474,3765,2593,3888,2474,3765,2593,3888,r3c2@60,,,,,60,
2178,50,4844,3766,4861,3782,4844,3766,4861,3782,r3c3@30,,,,,30,
67,Hotel,3190,3767,3279,3804,3190,3767,3279,3804,r3c2,,,,,0,
282,8,3586,3768,3610,3794,3586,3768,3610,3794,r3c2,,,,,0,
2259,CORDOVA ST.WEST,3301,3769,3816,4158,3301,3769,3816,4158,r3c2@30,,,,,30,
19,Ref.,2864,3771,2924,3805,2864,3771,2924,3805,r3c2,,,,,0,
836,20,2291,3772,2312,3792,2291,3772,2312,3792,r3c1@60,,,,,60,
18,REF.,2867,3773,2924,3804,2867,3773,2924,3804,r3c2,,,,,0,
2221,50,4864,3773,4882,3790,4864,3773,4882,3790,r3c3@30,,,,,30,
45,Hotel,3885,3784,3954,3970,3885,3784,3954,3970,r3c3,,,,,0,
552,17,2100,3785,2133,3819,2100,3785,2133,3819,r3c1@30,,,,,30,
17,79,2869,3797,2904,3825,2869,3797,2904,3825,r3c2,,,,,0,
385,9,3707,3801,3730,3827,3707,3801,3730,3827,r3c2,,,,,0,
123,B,3369,3802,3392,3828,3369,3802,3392,3828,r3c2,,,,,0,
