id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
30,Fruit,1991,984,2052,1007,3719,1838,3832,1880,r1c3,,,,,0,
185,Tobacco,2678,985,2697,1053,5001,1840,5037,1966,r1c4,,,,,0,
677,D,2685,985,2693,997,5015,1840,5029,1861,r1c5,,,,,0,
48,2,2978,987,2991,1004,5561,1843,5586,1876,r1c5,,,,,0,
167,Grocky,2912,989,2964,1011,5439,1847,5535,1889,r1c5,,,,,0,
140,x,1055,990,1065,1003,1971,1850,1990,1873,r1c1,,,,,0,
90,Meat,2530,991,2551,1054,4726,1851,4765,1969,r1c4,,,,,0,
56,477,2996,996,3015,1034,5596,1860,5631,1932,r1c5,,,,,0,
108,Vac.,2636,1008,2656,1050,4923,1883,4961,1962,r1c4,,,,,0,
203,& Bancry,2898,1010,2975,1033,5412,1886,5557,1929,r1c5,,,,,0,
314,HILLSBOROUGH HO.,1431,1012,1672,1040,2673,1890,3122,1943,r1c2,,,,,0,
676,HHo.,1611,1012,1672,1038,3009,1890,3122,1939,r1c3,,,,,0,
79,OFF,1887,1017,1923,1033,3524,1900,3591,1929,r1c3,,,,,0,
539,2 Confec.,2765,1023,2847,1050,5164,1910,5317,1962,r1c5,,,,,0,
57,x,2039,1025,2047,1035,3808,1914,3824,1933,r1c3,,,,,0,
62,x,2066,1025,2075,1036,3858,1914,3875,1934,r1c3,,,,,0,
214,2,1082,1027,1096,1043,2021,1919,2047,1947,r1c1,,,,,0,
424,0,1171,1030,1184,1043,2188,1924,2211,1949,r1c1,,,,,0,
70,x,1920,1031,1928,1040,3585,1926,3601,1943,r1c3,,,,,0,
74,X,2982,1035,2992,1043,5570,1933,5588,1949,r1c5,,,,,0,
84,x,2603,1040,2610,1050,4861,1943,4875,1962,r1c4,,,,,0,
202,x,2696,1040,2703,1050,5034,1943,5049,1962,r1c4,,,,,0,
86,x,2556,1043,2564,1053,4773,1947,4789,1966,r1c4,,,,,0,
358,10-7,1113,1046,1154,1066,2079,1953,2155,1992,r1c1,,,,,0,
92,x,1918,1046,1929,1056,3583,1953,3603,1972,r1c3,,,,,0,
258,D.H.,2152,1053,2187,1068,4020,1967,4085,1995,r1c3,,,,,0,
468,B.,2792,1058,2814,1073,5214,1976,5256,2005,r1c5,,,,,0,
127,106,2575,1060,2606,1076,4809,1980,4868,2009,r1c4,,,,,0,
157,107.,2648,1060,2684,1076,4946,1980,5013,2009,r1c4,,,,,0,
